Health_Board,Pop_Size,,,,,,Ayrshire,416,,11.25327995
Ayrshire,369670,,,,,,Borders,208,,18.04459096
Borders,115270,,,,,,Dumfries and Galloway,199,,13.37455474
Dumfries and Galloway,148790,,,,,,Fife,397,,10.67462558
Fife,371910,,,,,,Forth Valley,367,,11.99072108
Forth Valley,306070,,,,,,"Grampian, Shetland and Orkney",385,,
Grampian,584550,,,,,,Greater Glasgow and Clyde,1575,,13.40448348
Greater Glasgow and Clyde,1174980,,,,,,Highland and Western Isles,174,,
Highland,321800,,,,,,Lanarkshire,822,,
Lanarkshire,659200,,,,,,Lothian,989,,11.01618455
Lothian,897770,,,,,,Tayside,826,,19.85195155
Orkney,22190,,,,,,Total,6358,,
Shetland,22990,,,,,,,,,
Tayside,416080,,,,,,,,,
Western Isles,26830,,,,,,,,,
,,,,,,,,,,
Total,5438100,,,,,,,,,
