Country,Holiday1_Start,Holiday1_End,Holiday1_Shading,Holiday2_Start,Holiday2_End,Holiday2_Shading
Belgium,02/11/2020,15/11/2020,Light,n/a,n/a,n/a
Denmark,10/10/2020,18/10/2020,Dark,n/a,n/a,n/a
Finland,14/10/2020,18/10/2020,Dark,n/a,n/a,n/a
France,18/10/2020,01/11/2020,Dark,n/a,n/a,n/a
Germany,05/10/2020,06/11/2020,Light,n/a,n/a,n/a
Iceland,22/10/2020,26/10/2020,Dark,n/a,n/a,n/a
Ireland,26/10/2020,30/10/2020,Dark,n/a,n/a,n/a
Italy,31/10/2020,08/11/2020,Light,n/a,n/a,n/a
Luxembourg,31/10/2020,08/11/2020,Dark,n/a,n/a,n/a
Netherlands,10/10/2020,25/10/2020,Light,n/a,n/a,n/a
Norway,28/09/2020,09/10/2020,Light,n/a,n/a,n/a
Sweden,26/10/2020,30/10/2020,Dark,n/a,n/a,n/a
Switzerland,21/09/2020,30/10/2020,Light,n/a,n/a,n/a
England,26/10/2020,30/10/2020,Dark,n/a,n/a,n/a
Scotland,14/09/2020,28/09/2020,Light,05/10/2020,26/10/2020,Light
Wales,26/10/2020,30/10/2020,Dark,n/a,n/a,n/a
Northern Ireland,31/10/2020,01/11/2020,Dark,n/a,n/a,n/a
