Council area,Registration Year,Mother age group,Number,,
Aberdeen City,1991,0 to 19,200,,
Aberdeen City,1991,20 to 24,617,,
Aberdeen City,1991,25 to 29,985,,
Aberdeen City,1991,30 to 34,665,,
Aberdeen City,1991,35 to 39,202,,
Aberdeen City,1991,40 and over,27,,
Aberdeen City,1991,All ages,2697,,
Aberdeen City,1991,Not stated,1,,
Aberdeen City,1992,0 to 19,207,,
Aberdeen City,1992,20 to 24,619,,
Aberdeen City,1992,25 to 29,906,,
Aberdeen City,1992,30 to 34,698,,
Aberdeen City,1992,35 to 39,204,,
Aberdeen City,1992,40 and over,27,,
Aberdeen City,1992,All ages,2662,,
Aberdeen City,1992,Not stated,1,,
Aberdeen City,1993,0 to 19,177,,
Aberdeen City,1993,20 to 24,573,,
Aberdeen City,1993,25 to 29,913,,
Aberdeen City,1993,30 to 34,707,,
Aberdeen City,1993,35 to 39,217,,
Aberdeen City,1993,40 and over,33,,
Aberdeen City,1993,All ages,2620,,
Aberdeen City,1993,Not stated,0,,
Aberdeen City,1994,0 to 19,163,,
Aberdeen City,1994,20 to 24,553,,
Aberdeen City,1994,25 to 29,898,,
Aberdeen City,1994,30 to 34,741,,
Aberdeen City,1994,35 to 39,233,,
Aberdeen City,1994,40 and over,38,,
Aberdeen City,1994,All ages,2626,,
Aberdeen City,1994,Not stated,0,,
Aberdeen City,1995,0 to 19,155,,
Aberdeen City,1995,20 to 24,452,,
Aberdeen City,1995,25 to 29,745,,
Aberdeen City,1995,30 to 34,722,,
Aberdeen City,1995,35 to 39,254,,
Aberdeen City,1995,40 and over,35,,
Aberdeen City,1995,All ages,2363,,
Aberdeen City,1995,Not stated,0,,
Aberdeen City,1996,0 to 19,172,,
Aberdeen City,1996,20 to 24,448,,
Aberdeen City,1996,25 to 29,768,,
Aberdeen City,1996,30 to 34,720,,
Aberdeen City,1996,35 to 39,255,,
Aberdeen City,1996,40 and over,38,,
Aberdeen City,1996,All ages,2402,,
Aberdeen City,1996,Not stated,1,,
Aberdeen City,1997,0 to 19,187,,
Aberdeen City,1997,20 to 24,394,,
Aberdeen City,1997,25 to 29,779,,
Aberdeen City,1997,30 to 34,688,,
Aberdeen City,1997,35 to 39,269,,
Aberdeen City,1997,40 and over,49,,
Aberdeen City,1997,All ages,2366,,
Aberdeen City,1997,Not stated,0,,
Aberdeen City,1998,0 to 19,196,,
Aberdeen City,1998,20 to 24,376,,
Aberdeen City,1998,25 to 29,721,,
Aberdeen City,1998,30 to 34,714,,
Aberdeen City,1998,35 to 39,286,,
Aberdeen City,1998,40 and over,46,,
Aberdeen City,1998,All ages,2339,,
Aberdeen City,1998,Not stated,0,,
Aberdeen City,1999,0 to 19,167,,
Aberdeen City,1999,20 to 24,390,,
Aberdeen City,1999,25 to 29,684,,
Aberdeen City,1999,30 to 34,735,,
Aberdeen City,1999,35 to 39,278,,
Aberdeen City,1999,40 and over,57,,
Aberdeen City,1999,All ages,2311,,
Aberdeen City,1999,Not stated,0,,
Aberdeen City,2000,0 to 19,169,,
Aberdeen City,2000,20 to 24,336,,
Aberdeen City,2000,25 to 29,585,,
Aberdeen City,2000,30 to 34,659,,
Aberdeen City,2000,35 to 39,297,,
Aberdeen City,2000,40 and over,42,,
Aberdeen City,2000,All ages,2088,,
Aberdeen City,2000,Not stated,0,,
Aberdeen City,2001,0 to 19,172,,
Aberdeen City,2001,20 to 24,346,,
Aberdeen City,2001,25 to 29,558,,
Aberdeen City,2001,30 to 34,668,,
Aberdeen City,2001,35 to 39,309,,
Aberdeen City,2001,40 and over,44,,
Aberdeen City,2001,All ages,2097,,
Aberdeen City,2001,Not stated,0,,
Aberdeen City,2002,0 to 19,178,,
Aberdeen City,2002,20 to 24,380,,
Aberdeen City,2002,25 to 29,514,,
Aberdeen City,2002,30 to 34,666,,
Aberdeen City,2002,35 to 39,320,,
Aberdeen City,2002,40 and over,40,,
Aberdeen City,2002,All ages,2098,,
Aberdeen City,2002,Not stated,0,,
Aberdeen City,2003,0 to 19,175,,
Aberdeen City,2003,20 to 24,364,,
Aberdeen City,2003,25 to 29,491,,
Aberdeen City,2003,30 to 34,646,,
Aberdeen City,2003,35 to 39,281,,
Aberdeen City,2003,40 and over,46,,
Aberdeen City,2003,All ages,2003,,
Aberdeen City,2003,Not stated,0,,
Aberdeen City,2004,0 to 19,133,,
Aberdeen City,2004,20 to 24,402,,
Aberdeen City,2004,25 to 29,480,,
Aberdeen City,2004,30 to 34,671,,
Aberdeen City,2004,35 to 39,330,,
Aberdeen City,2004,40 and over,58,,
Aberdeen City,2004,All ages,2075,,
Aberdeen City,2004,Not stated,1,,
Aberdeen City,2005,0 to 19,157,,
Aberdeen City,2005,20 to 24,360,,
Aberdeen City,2005,25 to 29,508,,
Aberdeen City,2005,30 to 34,640,,
Aberdeen City,2005,35 to 39,334,,
Aberdeen City,2005,40 and over,61,,
Aberdeen City,2005,All ages,2061,,
Aberdeen City,2005,Not stated,1,,
Aberdeen City,2006,0 to 19,148,,
Aberdeen City,2006,20 to 24,408,,
Aberdeen City,2006,25 to 29,565,,
Aberdeen City,2006,30 to 34,638,,
Aberdeen City,2006,35 to 39,369,,
Aberdeen City,2006,40 and over,67,,
Aberdeen City,2006,All ages,2200,,
Aberdeen City,2006,Not stated,5,,
Aberdeen City,2007,0 to 19,171,,
Aberdeen City,2007,20 to 24,458,,
Aberdeen City,2007,25 to 29,640,,
Aberdeen City,2007,30 to 34,719,,
Aberdeen City,2007,35 to 39,362,,
Aberdeen City,2007,40 and over,67,,
Aberdeen City,2007,All ages,2417,,
Aberdeen City,2007,Not stated,0,,
Aberdeen City,2008,0 to 19,131,,
Aberdeen City,2008,20 to 24,517,,
Aberdeen City,2008,25 to 29,772,,
Aberdeen City,2008,30 to 34,720,,
Aberdeen City,2008,35 to 39,377,,
Aberdeen City,2008,40 and over,79,,
Aberdeen City,2008,All ages,2596,,
Aberdeen City,2008,Not stated,0,,
Aberdeen City,2009,0 to 19,133,,
Aberdeen City,2009,20 to 24,442,,
Aberdeen City,2009,25 to 29,754,,
Aberdeen City,2009,30 to 34,764,,
Aberdeen City,2009,35 to 39,415,,
Aberdeen City,2009,40 and over,56,,
Aberdeen City,2009,All ages,2564,,
Aberdeen City,2009,Not stated,0,,
Aberdeen City,2010,0 to 19,126,,
Aberdeen City,2010,20 to 24,463,,
Aberdeen City,2010,25 to 29,761,,
Aberdeen City,2010,30 to 34,798,,
Aberdeen City,2010,35 to 39,379,,
Aberdeen City,2010,40 and over,71,,
Aberdeen City,2010,All ages,2599,,
Aberdeen City,2010,Not stated,1,,
Aberdeen City,2011,0 to 19,130,,
Aberdeen City,2011,20 to 24,410,,
Aberdeen City,2011,25 to 29,788,,
Aberdeen City,2011,30 to 34,787,,
Aberdeen City,2011,35 to 39,409,,
Aberdeen City,2011,40 and over,84,,
Aberdeen City,2011,All ages,2608,,
Aberdeen City,2011,Not stated,0,,
Aberdeen City,2012,0 to 19,121,,
Aberdeen City,2012,20 to 24,410,,
Aberdeen City,2012,25 to 29,798,,
Aberdeen City,2012,30 to 34,843,,
Aberdeen City,2012,35 to 39,421,,
Aberdeen City,2012,40 and over,95,,
Aberdeen City,2012,All ages,2688,,
Aberdeen City,2012,Not stated,0,,
Aberdeen City,2013,0 to 19,104,,
Aberdeen City,2013,20 to 24,380,,
Aberdeen City,2013,25 to 29,714,,
Aberdeen City,2013,30 to 34,849,,
Aberdeen City,2013,35 to 39,375,,
Aberdeen City,2013,40 and over,78,,
Aberdeen City,2013,All ages,2500,,
Aberdeen City,2013,Not stated,0,,
Aberdeen City,2014,0 to 19,76,,
Aberdeen City,2014,20 to 24,363,,
Aberdeen City,2014,25 to 29,745,,
Aberdeen City,2014,30 to 34,863,,
Aberdeen City,2014,35 to 39,425,,
Aberdeen City,2014,40 and over,93,,
Aberdeen City,2014,All ages,2565,,
Aberdeen City,2014,Not stated,0,,
Aberdeen City,2015,0 to 19,77,,
Aberdeen City,2015,20 to 24,343,,
Aberdeen City,2015,25 to 29,736,,
Aberdeen City,2015,30 to 34,896,,
Aberdeen City,2015,35 to 39,467,,
Aberdeen City,2015,40 and over,90,,
Aberdeen City,2015,All ages,2609,,
Aberdeen City,2015,Not stated,0,,
Aberdeen City,2016,0 to 19,70,,
Aberdeen City,2016,20 to 24,358,,
Aberdeen City,2016,25 to 29,665,,
Aberdeen City,2016,30 to 34,905,,
Aberdeen City,2016,35 to 39,421,,
Aberdeen City,2016,40 and over,102,,
Aberdeen City,2016,All ages,2521,,
Aberdeen City,2016,Not stated,0,,
Aberdeen City,2017,0 to 19,69,,
Aberdeen City,2017,20 to 24,311,,
Aberdeen City,2017,25 to 29,704,,
Aberdeen City,2017,30 to 34,821,,
Aberdeen City,2017,35 to 39,420,,
Aberdeen City,2017,40 and over,77,,
Aberdeen City,2017,All ages,2402,,
Aberdeen City,2017,Not stated,0,,
Aberdeen City,2018,0 to 19,60,,
Aberdeen City,2018,20 to 24,321,,
Aberdeen City,2018,25 to 29,562,,
Aberdeen City,2018,30 to 34,814,,
Aberdeen City,2018,35 to 39,474,,
Aberdeen City,2018,40 and over,106,,
Aberdeen City,2018,All ages,2337,,
Aberdeen City,2018,Not stated,0,,
Aberdeen City,2019,0 to 19,53,,
Aberdeen City,2019,20 to 24,243,,
Aberdeen City,2019,25 to 29,628,,
Aberdeen City,2019,30 to 34,789,,
Aberdeen City,2019,35 to 39,435,,
Aberdeen City,2019,40 and over,112,,
Aberdeen City,2019,All ages,2260,,
Aberdeen City,2019,Not stated,0,,
Aberdeenshire,1991,0 to 19,156,,
Aberdeenshire,1991,20 to 24,696,,
Aberdeenshire,1991,25 to 29,1131,,
Aberdeenshire,1991,30 to 34,706,,
Aberdeenshire,1991,35 to 39,185,,
Aberdeenshire,1991,40 and over,41,,
Aberdeenshire,1991,All ages,2918,,
Aberdeenshire,1991,Not stated,3,,
Aberdeenshire,1992,0 to 19,150,,
Aberdeenshire,1992,20 to 24,640,,
Aberdeenshire,1992,25 to 29,1149,,
Aberdeenshire,1992,30 to 34,800,,
Aberdeenshire,1992,35 to 39,241,,
Aberdeenshire,1992,40 and over,39,,
Aberdeenshire,1992,All ages,3021,,
Aberdeenshire,1992,Not stated,2,,
Aberdeenshire,1993,0 to 19,124,,
Aberdeenshire,1993,20 to 24,572,,
Aberdeenshire,1993,25 to 29,1108,,
Aberdeenshire,1993,30 to 34,771,,
Aberdeenshire,1993,35 to 39,240,,
Aberdeenshire,1993,40 and over,37,,
Aberdeenshire,1993,All ages,2855,,
Aberdeenshire,1993,Not stated,3,,
Aberdeenshire,1994,0 to 19,135,,
Aberdeenshire,1994,20 to 24,527,,
Aberdeenshire,1994,25 to 29,1129,,
Aberdeenshire,1994,30 to 34,811,,
Aberdeenshire,1994,35 to 39,222,,
Aberdeenshire,1994,40 and over,38,,
Aberdeenshire,1994,All ages,2865,,
Aberdeenshire,1994,Not stated,3,,
Aberdeenshire,1995,0 to 19,113,,
Aberdeenshire,1995,20 to 24,432,,
Aberdeenshire,1995,25 to 29,1021,,
Aberdeenshire,1995,30 to 34,831,,
Aberdeenshire,1995,35 to 39,259,,
Aberdeenshire,1995,40 and over,40,,
Aberdeenshire,1995,All ages,2697,,
Aberdeenshire,1995,Not stated,1,,
Aberdeenshire,1996,0 to 19,119,,
Aberdeenshire,1996,20 to 24,444,,
Aberdeenshire,1996,25 to 29,961,,
Aberdeenshire,1996,30 to 34,776,,
Aberdeenshire,1996,35 to 39,276,,
Aberdeenshire,1996,40 and over,38,,
Aberdeenshire,1996,All ages,2627,,
Aberdeenshire,1996,Not stated,13,,
Aberdeenshire,1997,0 to 19,133,,
Aberdeenshire,1997,20 to 24,412,,
Aberdeenshire,1997,25 to 29,872,,
Aberdeenshire,1997,30 to 34,836,,
Aberdeenshire,1997,35 to 39,306,,
Aberdeenshire,1997,40 and over,34,,
Aberdeenshire,1997,All ages,2594,,
Aberdeenshire,1997,Not stated,1,,
Aberdeenshire,1998,0 to 19,147,,
Aberdeenshire,1998,20 to 24,387,,
Aberdeenshire,1998,25 to 29,877,,
Aberdeenshire,1998,30 to 34,830,,
Aberdeenshire,1998,35 to 39,299,,
Aberdeenshire,1998,40 and over,49,,
