Council area,Registration Year,Sex,Number
Aberdeen City,1991,All people,2697
Aberdeenshire,1991,All people,2918
Angus,1991,All people,1336
Argyll and Bute,1991,All people,1220
City of Edinburgh,1991,All people,5671
Clackmannanshire,1991,All people,663
Dumfries and Galloway,1991,All people,1781
Dundee City,1991,All people,2017
East Ayrshire,1991,All people,1727
East Dunbartonshire,1991,All people,1370
East Lothian,1991,All people,1113
East Renfrewshire,1991,All people,1123
Falkirk,1991,All people,1932
Fife,1991,All people,4388
Glasgow City,1991,All people,9027
Highland,1991,All people,2657
Inverclyde,1991,All people,1185
Midlothian,1991,All people,1080
Moray,1991,All people,1162
Na h-Eileanan Siar,1991,All people,329
North Ayrshire,1991,All people,1931
North Lanarkshire,1991,All people,4482
Orkney Islands,1991,All people,237
Perth and Kinross,1991,All people,1554
Renfrewshire,1991,All people,2219
Scotland,1991,All people,67024
Scottish Borders,1991,All people,1259
Shetland Islands,1991,All people,324
South Ayrshire,1991,All people,1230
South Lanarkshire,1991,All people,4050
Stirling,1991,All people,971
West Dunbartonshire,1991,All people,1277
West Lothian,1991,All people,2094
Aberdeen City,1991,Female,1307
Aberdeenshire,1991,Female,1408
Angus,1991,Female,647
Argyll and Bute,1991,Female,582
City of Edinburgh,1991,Female,2756
Clackmannanshire,1991,Female,338
Dumfries and Galloway,1991,Female,884
Dundee City,1991,Female,998
East Ayrshire,1991,Female,880
East Dunbartonshire,1991,Female,662
East Lothian,1991,Female,554
East Renfrewshire,1991,Female,525
Falkirk,1991,Female,950
Fife,1991,Female,2102
Glasgow City,1991,Female,4347
Highland,1991,Female,1276
Inverclyde,1991,Female,555
Midlothian,1991,Female,528
Moray,1991,Female,569
Na h-Eileanan Siar,1991,Female,153
North Ayrshire,1991,Female,940
North Lanarkshire,1991,Female,2204
Orkney Islands,1991,Female,116
Perth and Kinross,1991,Female,722
Renfrewshire,1991,Female,1079
Scotland,1991,Female,32605
Scottish Borders,1991,Female,629
Shetland Islands,1991,Female,152
South Ayrshire,1991,Female,587
South Lanarkshire,1991,Female,1987
Stirling,1991,Female,492
West Dunbartonshire,1991,Female,629
West Lothian,1991,Female,1047
Aberdeen City,1991,Male,1390
Aberdeenshire,1991,Male,1510
Angus,1991,Male,689
Argyll and Bute,1991,Male,638
City of Edinburgh,1991,Male,2915
Clackmannanshire,1991,Male,325
Dumfries and Galloway,1991,Male,897
Dundee City,1991,Male,1019
East Ayrshire,1991,Male,847
East Dunbartonshire,1991,Male,708
East Lothian,1991,Male,559
East Renfrewshire,1991,Male,598
Falkirk,1991,Male,982
Fife,1991,Male,2286
Glasgow City,1991,Male,4680
Highland,1991,Male,1381
Inverclyde,1991,Male,630
Midlothian,1991,Male,552
Moray,1991,Male,593
Na h-Eileanan Siar,1991,Male,176
North Ayrshire,1991,Male,991
North Lanarkshire,1991,Male,2278
Orkney Islands,1991,Male,121
Perth and Kinross,1991,Male,832
Renfrewshire,1991,Male,1140
Scotland,1991,Male,34419
Scottish Borders,1991,Male,630
Shetland Islands,1991,Male,172
South Ayrshire,1991,Male,643
South Lanarkshire,1991,Male,2063
Stirling,1991,Male,479
West Dunbartonshire,1991,Male,648
West Lothian,1991,Male,1047
Aberdeen City,1992,All people,2662
Aberdeenshire,1992,All people,3021
Angus,1992,All people,1373
Argyll and Bute,1992,All people,1118
City of Edinburgh,1992,All people,5477
Clackmannanshire,1992,All people,679
Dumfries and Galloway,1992,All people,1751
Dundee City,1992,All people,1982
East Ayrshire,1992,All people,1659
East Dunbartonshire,1992,All people,1266
East Lothian,1992,All people,1147
East Renfrewshire,1992,All people,1131
Falkirk,1992,All people,1842
Fife,1992,All people,4306
Glasgow City,1992,All people,8734
Highland,1992,All people,2694
Inverclyde,1992,All people,1157
Midlothian,1992,All people,1077
Moray,1992,All people,1166
Na h-Eileanan Siar,1992,All people,332
North Ayrshire,1992,All people,1797
North Lanarkshire,1992,All people,4342
Orkney Islands,1992,All people,239
Perth and Kinross,1992,All people,1523
Renfrewshire,1992,All people,2299
Scotland,1992,All people,65789
Scottish Borders,1992,All people,1196
Shetland Islands,1992,All people,325
South Ayrshire,1992,All people,1267
South Lanarkshire,1992,All people,3880
Stirling,1992,All people,936
West Dunbartonshire,1992,All people,1322
West Lothian,1992,All people,2089
Aberdeen City,1992,Female,1335
Aberdeenshire,1992,Female,1537
Angus,1992,Female,680
Argyll and Bute,1992,Female,570
City of Edinburgh,1992,Female,2628
Clackmannanshire,1992,Female,323
Dumfries and Galloway,1992,Female,898
Dundee City,1992,Female,961
East Ayrshire,1992,Female,800
East Dunbartonshire,1992,Female,639
East Lothian,1992,Female,536
