Council area,Registration Year,Sex,Number of civil partnerships
Aberdeen City,2005,All,3
Aberdeenshire,2005,All,3
Angus,2005,All,0
Argyll and Bute,2005,All,2
City of Edinburgh,2005,All,35
Clackmannanshire,2005,All,1
Dumfries and Galloway,2005,All,6
Dundee City,2005,All,3
East Ayrshire,2005,All,0
East Dunbartonshire,2005,All,0
East Lothian,2005,All,4
East Renfrewshire,2005,All,0
Falkirk,2005,All,1
Fife,2005,All,5
Glasgow City,2005,All,8
Highland,2005,All,2
Inverclyde,2005,All,1
Midlothian,2005,All,0
Moray,2005,All,2
Na h-Eileanan Siar,2005,All,0
North Ayrshire,2005,All,1
North Lanarkshire,2005,All,0
Orkney Islands,2005,All,0
Perth and Kinross,2005,All,1
Renfrewshire,2005,All,1
Scotland,2005,All,84
Scottish Borders,2005,All,1
Shetland Islands,2005,All,1
South Ayrshire,2005,All,1
South Lanarkshire,2005,All,1
Stirling,2005,All,1
West Dunbartonshire,2005,All,0
West Lothian,2005,All,0
Aberdeen City,2005,Female,2
Aberdeenshire,2005,Female,0
Angus,2005,Female,0
Argyll and Bute,2005,Female,1
City of Edinburgh,2005,Female,13
Clackmannanshire,2005,Female,0
Dumfries and Galloway,2005,Female,2
Dundee City,2005,Female,3
East Ayrshire,2005,Female,0
East Dunbartonshire,2005,Female,0
East Lothian,2005,Female,1
East Renfrewshire,2005,Female,0
Falkirk,2005,Female,1
Fife,2005,Female,0
Glasgow City,2005,Female,2
Highland,2005,Female,0
Inverclyde,2005,Female,1
Midlothian,2005,Female,0
Moray,2005,Female,1
Na h-Eileanan Siar,2005,Female,0
North Ayrshire,2005,Female,1
North Lanarkshire,2005,Female,0
Orkney Islands,2005,Female,0
Perth and Kinross,2005,Female,1
Renfrewshire,2005,Female,0
Scotland,2005,Female,31
Scottish Borders,2005,Female,0
Shetland Islands,2005,Female,0
South Ayrshire,2005,Female,1
South Lanarkshire,2005,Female,1
Stirling,2005,Female,0
West Dunbartonshire,2005,Female,0
West Lothian,2005,Female,0
Aberdeen City,2005,Male,1
Aberdeenshire,2005,Male,3
Angus,2005,Male,0
Argyll and Bute,2005,Male,1
City of Edinburgh,2005,Male,22
Clackmannanshire,2005,Male,1
Dumfries and Galloway,2005,Male,4
Dundee City,2005,Male,0
East Ayrshire,2005,Male,0
East Dunbartonshire,2005,Male,0
East Lothian,2005,Male,3
East Renfrewshire,2005,Male,0
Falkirk,2005,Male,0
Fife,2005,Male,5
Glasgow City,2005,Male,6
Highland,2005,Male,2
Inverclyde,2005,Male,0
Midlothian,2005,Male,0
Moray,2005,Male,1
Na h-Eileanan Siar,2005,Male,0
North Ayrshire,2005,Male,0
North Lanarkshire,2005,Male,0
Orkney Islands,2005,Male,0
Perth and Kinross,2005,Male,0
Renfrewshire,2005,Male,1
Scotland,2005,Male,53
Scottish Borders,2005,Male,1
Shetland Islands,2005,Male,1
South Ayrshire,2005,Male,0
South Lanarkshire,2005,Male,0
Stirling,2005,Male,1
West Dunbartonshire,2005,Male,0
West Lothian,2005,Male,0
Aberdeen City,2006,All,36
Aberdeenshire,2006,All,25
Angus,2006,All,8
Argyll and Bute,2006,All,30
City of Edinburgh,2006,All,310
Clackmannanshire,2006,All,4
Dumfries and Galloway,2006,All,47
Dundee City,2006,All,22
East Ayrshire,2006,All,8
East Dunbartonshire,2006,All,8
East Lothian,2006,All,21
East Renfrewshire,2006,All,8
Falkirk,2006,All,7
Fife,2006,All,50
Glasgow City,2006,All,226
Highland,2006,All,54
Inverclyde,2006,All,5
Midlothian,2006,All,7
Moray,2006,All,9
Na h-Eileanan Siar,2006,All,0
North Ayrshire,2006,All,19
North Lanarkshire,2006,All,19
Orkney Islands,2006,All,1
Perth and Kinross,2006,All,28
Renfrewshire,2006,All,6
Scotland,2006,All,1047
Scottish Borders,2006,All,17
Shetland Islands,2006,All,0
South Ayrshire,2006,All,17
South Lanarkshire,2006,All,10
Stirling,2006,All,20
West Dunbartonshire,2006,All,7
West Lothian,2006,All,18
Aberdeen City,2006,Female,14
Aberdeenshire,2006,Female,9
Angus,2006,Female,5
Argyll and Bute,2006,Female,18
City of Edinburgh,2006,Female,137
Clackmannanshire,2006,Female,2
Dumfries and Galloway,2006,Female,30
Dundee City,2006,Female,9
East Ayrshire,2006,Female,4
East Dunbartonshire,2006,Female,3
East Lothian,2006,Female,8
East Renfrewshire,2006,Female,4
Falkirk,2006,Female,4
Fife,2006,Female,20
Glasgow City,2006,Female,83
Highland,2006,Female,29
Inverclyde,2006,Female,2
Midlothian,2006,Female,5
Moray,2006,Female,3
Na h-Eileanan Siar,2006,Female,0
North Ayrshire,2006,Female,7
North Lanarkshire,2006,Female,11
Orkney Islands,2006,Female,0
Perth and Kinross,2006,Female,13
Renfrewshire,2006,Female,3
Scotland,2006,Female,469
Scottish Borders,2006,Female,5
Shetland Islands,2006,Female,0
South Ayrshire,2006,Female,10
South Lanarkshire,2006,Female,4
Stirling,2006,Female,9
West Dunbartonshire,2006,Female,5
West Lothian,2006,Female,13
Aberdeen City,2006,Male,22
Aberdeenshire,2006,Male,16
Angus,2006,Male,3
Argyll and Bute,2006,Male,12
City of Edinburgh,2006,Male,173
Clackmannanshire,2006,Male,2
Dumfries and Galloway,2006,Male,17
Dundee City,2006,Male,13
East Ayrshire,2006,Male,4
East Dunbartonshire,2006,Male,5
East Lothian,2006,Male,13
East Renfrewshire,2006,Male,4
Falkirk,2006,Male,3
Fife,2006,Male,30
Glasgow City,2006,Male,143
Highland,2006,Male,25
Inverclyde,2006,Male,3
Midlothian,2006,Male,2
Moray,2006,Male,6
Na h-Eileanan Siar,2006,Male,0
North Ayrshire,2006,Male,12
North Lanarkshire,2006,Male,8
Orkney Islands,2006,Male,1
Perth and Kinross,2006,Male,15
Renfrewshire,2006,Male,3
Scotland,2006,Male,578
Scottish Borders,2006,Male,12
Shetland Islands,2006,Male,0
South Ayrshire,2006,Male,7
South Lanarkshire,2006,Male,6
Stirling,2006,Male,11
West Dunbartonshire,2006,Male,2
West Lothian,2006,Male,5
Aberdeen City,2007,All,26
Aberdeenshire,2007,All,16
Angus,2007,All,8
Argyll and Bute,2007,All,14
City of Edinburgh,2007,All,190
Clackmannanshire,2007,All,0
Dumfries and Galloway,2007,All,49
Dundee City,2007,All,15
East Ayrshire,2007,All,2
