Council area,Registration Year,Sex,Age group,Number,,
Aberdeen City,2018,All people,0,8,,
Aberdeen City,2018,All people,1 to 4,2,,
Aberdeen City,2018,All people,5 to 9,0,,
Aberdeen City,2018,All people,10 to 14,0,,
Aberdeen City,2018,All people,15 to 19,3,,
Aberdeen City,2018,All people,20 to 24,2,,
Aberdeen City,2018,All people,25 to 29,11,,
Aberdeen City,2018,All people,30 to 34,20,,
Aberdeen City,2018,All people,35 to 39,21,,
Aberdeen City,2018,All people,40 to 44,35,,
Aberdeen City,2018,All people,45 to 49,57,,
Aberdeen City,2018,All people,50 to 54,66,,
Aberdeen City,2018,All people,55 to 59,91,,
Aberdeen City,2018,All people,60 to 64,125,,
Aberdeen City,2018,All people,65 to 69,180,,
Aberdeen City,2018,All people,70 to 74,217,,
Aberdeen City,2018,All people,75 to 79,245,,
Aberdeen City,2018,All people,80 to 84,335,,
Aberdeen City,2018,All people,85 to 89,387,,
Aberdeen City,2018,All people,90 and over,365,,
Aberdeen City,2018,All people,All ages,2170,,
Aberdeen City,2018,Females,0,3,,
Aberdeen City,2018,Females,1 to 4,0,,
Aberdeen City,2018,Females,5 to 9,0,,
Aberdeen City,2018,Females,10 to 14,0,,
Aberdeen City,2018,Females,15 to 19,1,,
Aberdeen City,2018,Females,20 to 24,1,,
Aberdeen City,2018,Females,25 to 29,4,,
Aberdeen City,2018,Females,30 to 34,12,,
Aberdeen City,2018,Females,35 to 39,5,,
Aberdeen City,2018,Females,40 to 44,12,,
Aberdeen City,2018,Females,45 to 49,20,,
Aberdeen City,2018,Females,50 to 54,30,,
Aberdeen City,2018,Females,55 to 59,30,,
Aberdeen City,2018,Females,60 to 64,49,,
Aberdeen City,2018,Females,65 to 69,76,,
Aberdeen City,2018,Females,70 to 74,95,,
Aberdeen City,2018,Females,75 to 79,111,,
Aberdeen City,2018,Females,80 to 84,167,,
Aberdeen City,2018,Females,85 to 89,208,,
Aberdeen City,2018,Females,90 and over,239,,
Aberdeen City,2018,Females,All ages,1063,,
Aberdeen City,2018,Males,0,5,,
Aberdeen City,2018,Males,1 to 4,2,,
Aberdeen City,2018,Males,5 to 9,0,,
Aberdeen City,2018,Males,10 to 14,0,,
Aberdeen City,2018,Males,15 to 19,2,,
Aberdeen City,2018,Males,20 to 24,1,,
Aberdeen City,2018,Males,25 to 29,7,,
Aberdeen City,2018,Males,30 to 34,8,,
Aberdeen City,2018,Males,35 to 39,16,,
Aberdeen City,2018,Males,40 to 44,23,,
Aberdeen City,2018,Males,45 to 49,37,,
Aberdeen City,2018,Males,50 to 54,36,,
Aberdeen City,2018,Males,55 to 59,61,,
Aberdeen City,2018,Males,60 to 64,76,,
Aberdeen City,2018,Males,65 to 69,104,,
Aberdeen City,2018,Males,70 to 74,122,,
Aberdeen City,2018,Males,75 to 79,134,,
Aberdeen City,2018,Males,80 to 84,168,,
Aberdeen City,2018,Males,85 to 89,179,,
Aberdeen City,2018,Males,90 and over,126,,
Aberdeen City,2018,Males,All ages,1107,,
Aberdeenshire,2018,All people,0,2,,
Aberdeenshire,2018,All people,1 to 4,0,,
Aberdeenshire,2018,All people,5 to 9,1,,
Aberdeenshire,2018,All people,10 to 14,1,,
Aberdeenshire,2018,All people,15 to 19,5,,
Aberdeenshire,2018,All people,20 to 24,4,,
Aberdeenshire,2018,All people,25 to 29,8,,
Aberdeenshire,2018,All people,30 to 34,19,,
Aberdeenshire,2018,All people,35 to 39,13,,
Aberdeenshire,2018,All people,40 to 44,21,,
Aberdeenshire,2018,All people,45 to 49,33,,
Aberdeenshire,2018,All people,50 to 54,71,,
Aberdeenshire,2018,All people,55 to 59,84,,
Aberdeenshire,2018,All people,60 to 64,128,,
Aberdeenshire,2018,All people,65 to 69,202,,
Aberdeenshire,2018,All people,70 to 74,265,,
Aberdeenshire,2018,All people,75 to 79,306,,
Aberdeenshire,2018,All people,80 to 84,405,,
Aberdeenshire,2018,All people,85 to 89,466,,
Aberdeenshire,2018,All people,90 and over,428,,
Aberdeenshire,2018,All people,All ages,2462,,
Aberdeenshire,2018,Females,0,2,,
Aberdeenshire,2018,Females,1 to 4,0,,
Aberdeenshire,2018,Females,5 to 9,1,,
