Council area,Registration Year,Sex,Number,,,,
Aberdeen City,1991,All people,2323,,,,
Aberdeenshire,1991,All people,2069,,,,
Angus,1991,All people,1402,,,,
Argyll and Bute,1991,All people,1206,,,,
City of Edinburgh,1991,All people,5501,,,,
Clackmannanshire,1991,All people,487,,,,
Dumfries and Galloway,1991,All people,1928,,,,
Dundee City,1991,All people,1912,,,,
East Ayrshire,1991,All people,1475,,,,
East Dunbartonshire,1991,All people,967,,,,
East Lothian,1991,All people,1072,,,,
East Renfrewshire,1991,All people,820,,,,
Falkirk,1991,All people,1651,,,,
Fife,1991,All people,4158,,,,
Glasgow City,1991,All people,9087,,,,
Highland,1991,All people,2355,,,,
Inverclyde,1991,All people,1243,,,,
Midlothian,1991,All people,850,,,,
Moray,1991,All people,946,,,,
Na h-Eileanan Siar,1991,All people,439,,,,
North Ayrshire,1991,All people,1629,,,,
North Lanarkshire,1991,All people,3660,,,,
Orkney Islands,1991,All people,230,,,,
Perth and Kinross,1991,All people,1692,,,,
Renfrewshire,1991,All people,2045,,,,
Scotland,1991,All people,61041,,,,
Scottish Borders,1991,All people,1433,,,,
Shetland Islands,1991,All people,234,,,,
South Ayrshire,1991,All people,1512,,,,
South Lanarkshire,1991,All people,3211,,,,
Stirling,1991,All people,960,,,,
West Dunbartonshire,1991,All people,1205,,,,
West Lothian,1991,All people,1339,,,,
Aberdeen City,1991,Female,1209,,,,
Aberdeenshire,1991,Female,1086,,,,
Angus,1991,Female,779,,,,
Argyll and Bute,1991,Female,675,,,,
City of Edinburgh,1991,Female,2996,,,,
Clackmannanshire,1991,Female,237,,,,
Dumfries and Galloway,1991,Female,1021,,,,
Dundee City,1991,Female,989,,,,
East Ayrshire,1991,Female,794,,,,
East Dunbartonshire,1991,Female,488,,,,
East Lothian,1991,Female,546,,,,
East Renfrewshire,1991,Female,446,,,,
Falkirk,1991,Female,854,,,,
Fife,1991,Female,2173,,,,
Glasgow City,1991,Female,4690,,,,
Highland,1991,Female,1162,,,,
Inverclyde,1991,Female,664,,,,
Midlothian,1991,Female,460,,,,
Moray,1991,Female,460,,,,
Na h-Eileanan Siar,1991,Female,219,,,,
North Ayrshire,1991,Female,833,,,,
North Lanarkshire,1991,Female,1868,,,,
Orkney Islands,1991,Female,110,,,,
Perth and Kinross,1991,Female,834,,,,
Renfrewshire,1991,Female,1001,,,,
Scotland,1991,Female,31729,,,,
Scottish Borders,1991,Female,753,,,,
Shetland Islands,1991,Female,110,,,,
South Ayrshire,1991,Female,800,,,,
South Lanarkshire,1991,Female,1686,,,,
Stirling,1991,Female,493,,,,
West Dunbartonshire,1991,Female,603,,,,
West Lothian,1991,Female,690,,,,
Aberdeen City,1991,Male,1114,,,,
Aberdeenshire,1991,Male,983,,,,
Angus,1991,Male,623,,,,
Argyll and Bute,1991,Male,531,,,,
City of Edinburgh,1991,Male,2505,,,,
Clackmannanshire,1991,Male,250,,,,
Dumfries and Galloway,1991,Male,907,,,,
Dundee City,1991,Male,923,,,,
East Ayrshire,1991,Male,681,,,,
East Dunbartonshire,1991,Male,479,,,,
East Lothian,1991,Male,526,,,,
East Renfrewshire,1991,Male,374,,,,
Falkirk,1991,Male,797,,,,
Fife,1991,Male,1985,,,,
Glasgow City,1991,Male,4397,,,,
Highland,1991,Male,1193,,,,
Inverclyde,1991,Male,579,,,,
Midlothian,1991,Male,390,,,,
Moray,1991,Male,486,,,,
Na h-Eileanan Siar,1991,Male,220,,,,
North Ayrshire,1991,Male,796,,,,
North Lanarkshire,1991,Male,1792,,,,
Orkney Islands,1991,Male,120,,,,
Perth and Kinross,1991,Male,858,,,,
Renfrewshire,1991,Male,1044,,,,
Scotland,1991,Male,29312,,,,
Scottish Borders,1991,Male,680,,,,
Shetland Islands,1991,Male,124,,,,
South Ayrshire,1991,Male,712,,,,
South Lanarkshire,1991,Male,1525,,,,
Stirling,1991,Male,467,,,,
West Dunbartonshire,1991,Male,602,,,,
West Lothian,1991,Male,649,,,,
Aberdeen City,1992,All people,2325,,,,
Aberdeenshire,1992,All people,2155,,,,
Angus,1992,All people,1437,,,,
Argyll and Bute,1992,All people,1192,,,,
City of Edinburgh,1992,All people,5435,,,,
Clackmannanshire,1992,All people,536,,,,
