Council area,Year,Council Tax band,Number,,,,,,,,
Aberdeen City,2019,A,24297,,,,,,,,
Aberdeen City,2019,B,28093,,,,,,,,
Aberdeen City,2019,C,19263,,,,,,,,
Aberdeen City,2019,D,16397,,,,,,,,
Aberdeen City,2019,E,14822,,,,,,,,
Aberdeen City,2019,F,8798,,,,,,,,
Aberdeen City,2019,G,7742,,,,,,,,
Aberdeen City,2019,H,1051,,,,,,,,
Aberdeenshire,2019,A,20539,,,,,,,,
Aberdeenshire,2019,B,16232,,,,,,,,
Aberdeenshire,2019,C,14540,,,,,,,,
Aberdeenshire,2019,D,18121,,,,,,,,
Aberdeenshire,2019,E,21941,,,,,,,,
Aberdeenshire,2019,F,16777,,,,,,,,
Aberdeenshire,2019,G,10742,,,,,,,,
Aberdeenshire,2019,H,610,,,,,,,,
Angus,2019,A,15261,,,,,,,,
Angus,2019,B,12910,,,,,,,,
Angus,2019,C,7241,,,,,,,,
Angus,2019,D,8691,,,,,,,,
Angus,2019,E,7844,,,,,,,,
Angus,2019,F,3190,,,,,,,,
Angus,2019,G,1715,,,,,,,,
Angus,2019,H,168,,,,,,,,
Argyll and Bute,2019,A,7508,,,,,,,,
Argyll and Bute,2019,B,10037,,,,,,,,
Argyll and Bute,2019,C,9512,,,,,,,,
Argyll and Bute,2019,D,6142,,,,,,,,
Argyll and Bute,2019,E,7572,,,,,,,,
Argyll and Bute,2019,F,4295,,,,,,,,
Argyll and Bute,2019,G,2903,,,,,,,,
Argyll and Bute,2019,H,254,,,,,,,,
City of Edinburgh,2019,A,24345,,,,,,,,
City of Edinburgh,2019,B,48109,,,,,,,,
City of Edinburgh,2019,C,45100,,,,,,,,
City of Edinburgh,2019,D,40852,,,,,,,,
City of Edinburgh,2019,E,42893,,,,,,,,
City of Edinburgh,2019,F,25972,,,,,,,,
City of Edinburgh,2019,G,22316,,,,,,,,
City of Edinburgh,2019,H,4164,,,,,,,,
Clackmannanshire,2019,A,6311,,,,,,,,
Clackmannanshire,2019,B,7331,,,,,,,,
Clackmannanshire,2019,C,2128,,,,,,,,
Clackmannanshire,2019,D,2700,,,,,,,,
Clackmannanshire,2019,E,3341,,,,,,,,
Clackmannanshire,2019,F,1998,,,,,,,,
Clackmannanshire,2019,G,902,,,,,,,,
Clackmannanshire,2019,H,54,,,,,,,,
Dumfries and Galloway,2019,A,11230,,,,,,,,
Dumfries and Galloway,2019,B,22739,,,,,,,,
Dumfries and Galloway,2019,C,12103,,,,,,,,
Dumfries and Galloway,2019,D,10263,,,,,,,,
Dumfries and Galloway,2019,E,10768,,,,,,,,
Dumfries and Galloway,2019,F,5380,,,,,,,,
Dumfries and Galloway,2019,G,2549,,,,,,,,
Dumfries and Galloway,2019,H,158,,,,,,,,
Dundee City,2019,A,28174,,,,,,,,
Dundee City,2019,B,17233,,,,,,,,
Dundee City,2019,C,9550,,,,,,,,
Dundee City,2019,D,9136,,,,,,,,
Dundee City,2019,E,7385,,,,,,,,
Dundee City,2019,F,2388,,,,,,,,
Dundee City,2019,G,1080,,,,,,,,
Dundee City,2019,H,39,,,,,,,,
East Ayrshire,2019,A,26015,,,,,,,,
East Ayrshire,2019,B,9354,,,,,,,,
East Ayrshire,2019,C,5449,,,,,,,,
East Ayrshire,2019,D,6882,,,,,,,,
East Ayrshire,2019,E,6516,,,,,,,,
East Ayrshire,2019,F,3541,,,,,,,,
East Ayrshire,2019,G,1015,,,,,,,,
East Ayrshire,2019,H,49,,,,,,,,
East Dunbartonshire,2019,A,1109,,,,,,,,
East Dunbartonshire,2019,B,3723,,,,,,,,
East Dunbartonshire,2019,C,8366,,,,,,,,
East Dunbartonshire,2019,D,8443,,,,,,,,
East Dunbartonshire,2019,E,10614,,,,,,,,
East Dunbartonshire,2019,F,7252,,,,,,,,
East Dunbartonshire,2019,G,6943,,,,,,,,
East Dunbartonshire,2019,H,654,,,,,,,,
East Lothian,2019,A,1195,,,,,,,,
East Lothian,2019,B,9453,,,,,,,,
East Lothian,2019,C,15315,,,,,,,,
East Lothian,2019,D,6561,,,,,,,,
East Lothian,2019,E,6417,,,,,,,,
East Lothian,2019,F,5153,,,,,,,,
East Lothian,2019,G,4533,,,,,,,,
East Lothian,2019,H,682,,,,,,,,
East Renfrewshire,2019,A,1335,,,,,,,,
East Renfrewshire,2019,B,5254,,,,,,,,
East Renfrewshire,2019,C,4040,,,,,,,,
East Renfrewshire,2019,D,6646,,,,,,,,
East Renfrewshire,2019,E,8293,,,,,,,,
East Renfrewshire,2019,F,6349,,,,,,,,
East Renfrewshire,2019,G,6635,,,,,,,,
East Renfrewshire,2019,H,756,,,,,,,,
Falkirk,2019,A,22227,,,,,,,,
Falkirk,2019,B,19429,,,,,,,,
Falkirk,2019,C,6967,,,,,,,,
Falkirk,2019,D,9040,,,,,,,,
Falkirk,2019,E,8982,,,,,,,,
Falkirk,2019,F,5765,,,,,,,,
Falkirk,2019,G,2903,,,,,,,,
Falkirk,2019,H,66,,,,,,,,
Fife,2019,A,40314,,,,,,,,
Fife,2019,B,48617,,,,,,,,
Fife,2019,C,23479,,,,,,,,
Fife,2019,D,21188,,,,,,,,
Fife,2019,E,23883,,,,,,,,
