Council area,Year,Number of dwellings,,,,,,,,,
Aberdeen City,2001,105030,,,,,,,,,
Aberdeen City,2002,105675,,,,,,,,,
Aberdeen City,2003,106280,,,,,,,,,
Aberdeen City,2004,106754,,,,,,,,,
Aberdeen City,2005,107670,,,,,,,,,
Aberdeen City,2006,108618,,,,,,,,,
Aberdeen City,2007,109425,,,,,,,,,
Aberdeen City,2008,110084,,,,,,,,,
Aberdeen City,2009,110565,,,,,,,,,
Aberdeen City,2010,110968,,,,,,,,,
Aberdeen City,2011,111419,,,,,,,,,
Aberdeen City,2012,112073,,,,,,,,,
Aberdeen City,2013,112713,,,,,,,,,
Aberdeen City,2014,113508,,,,,,,,,
Aberdeen City,2015,114234,,,,,,,,,
Aberdeen City,2016,115080,,,,,,,,,
Aberdeen City,2017,116821,,,,,,,,,
Aberdeen City,2018,118131,,,,,,,,,
Aberdeen City,2019,119523,,,,,,,,,
Aberdeenshire,2001,97014,,,,,,,,,
Aberdeenshire,2002,98380,,,,,,,,,
Aberdeenshire,2003,99654,,,,,,,,,
Aberdeenshire,2004,101357,,,,,,,,,
Aberdeenshire,2005,102864,,,,,,,,,
Aberdeenshire,2006,104226,,,,,,,,,
Aberdeenshire,2007,105503,,,,,,,,,
Aberdeenshire,2008,106850,,,,,,,,,
Aberdeenshire,2009,108051,,,,,,,,,
Aberdeenshire,2010,109552,,,,,,,,,
Aberdeenshire,2011,110649,,,,,,,,,
Aberdeenshire,2012,111773,,,,,,,,,
Aberdeenshire,2013,112867,,,,,,,,,
Aberdeenshire,2014,114086,,,,,,,,,
Aberdeenshire,2015,115223,,,,,,,,,
Aberdeenshire,2016,116421,,,,,,,,,
Aberdeenshire,2017,117363,,,,,,,,,
Aberdeenshire,2018,118197,,,,,,,,,
Aberdeenshire,2019,119196,,,,,,,,,
Angus,2001,50313,,,,,,,,,
Angus,2002,50607,,,,,,,,,
Angus,2003,51051,,,,,,,,,
Angus,2004,51550,,,,,,,,,
Angus,2005,51989,,,,,,,,,
Angus,2006,52346,,,,,,,,,
Angus,2007,52870,,,,,,,,,
Angus,2008,53402,,,,,,,,,
Angus,2009,53807,,,,,,,,,
Angus,2010,54060,,,,,,,,,
Angus,2011,54372,,,,,,,,,
Angus,2012,54566,,,,,,,,,
Angus,2013,54872,,,,,,,,,
Angus,2014,55267,,,,,,,,,
Angus,2015,55619,,,,,,,,,
Angus,2016,55872,,,,,,,,,
Angus,2017,56135,,,,,,,,,
Angus,2018,56485,,,,,,,,,
Angus,2019,56928,,,,,,,,,
Argyll and Bute,2001,44556,,,,,,,,,
Argyll and Bute,2002,44857,,,,,,,,,
Argyll and Bute,2003,45123,,,,,,,,,
Argyll and Bute,2004,45246,,,,,,,,,
Argyll and Bute,2005,45512,,,,,,,,,
Argyll and Bute,2006,45794,,,,,,,,,
Argyll and Bute,2007,45932,,,,,,,,,
Argyll and Bute,2008,46306,,,,,,,,,
Argyll and Bute,2009,46446,,,,,,,,,
Argyll and Bute,2010,46679,,,,,,,,,
Argyll and Bute,2011,46896,,,,,,,,,
Argyll and Bute,2012,47105,,,,,,,,,
Argyll and Bute,2013,47336,,,,,,,,,
Argyll and Bute,2014,47500,,,,,,,,,
Argyll and Bute,2015,47712,,,,,,,,,
Argyll and Bute,2016,47780,,,,,,,,,
Argyll and Bute,2017,47884,,,,,,,,,
Argyll and Bute,2018,48020,,,,,,,,,
Argyll and Bute,2019,48134,,,,,,,,,
City of Edinburgh,2001,216594,,,,,,,,,
City of Edinburgh,2002,218285,,,,,,,,,
City of Edinburgh,2003,219239,,,,,,,,,
City of Edinburgh,2004,221536,,,,,,,,,
City of Edinburgh,2005,223693,,,,,,,,,
