Council area,Registration Year,Total fertility rate
Aberdeen City,1991,1.47
Aberdeen City,1992,1.45
Aberdeen City,1993,1.41
Aberdeen City,1994,1.41
Aberdeen City,1995,1.27
Aberdeen City,1996,1.32
Aberdeen City,1997,1.32
Aberdeen City,1998,1.34
Aberdeen City,1999,1.33
Aberdeen City,2000,1.23
Aberdeen City,2001,1.25
Aberdeen City,2002,1.28
Aberdeen City,2003,1.25
Aberdeen City,2004,1.31
Aberdeen City,2005,1.31
Aberdeen City,2006,1.39
Aberdeen City,2007,1.50
Aberdeen City,2008,1.57
Aberdeen City,2009,1.52
Aberdeen City,2010,1.50
Aberdeen City,2011,1.47
Aberdeen City,2012,1.49
Aberdeen City,2013,1.35
Aberdeen City,2014,1.35
Aberdeen City,2015,1.37
Aberdeen City,2016,1.31
Aberdeen City,2017,1.25
Aberdeen City,2018,1.24
Aberdeen City,2019,1.20
Aberdeenshire,1991,1.89
Aberdeenshire,1992,1.91
Aberdeenshire,1993,1.77
Aberdeenshire,1994,1.77
Aberdeenshire,1995,1.67
Aberdeenshire,1996,1.64
Aberdeenshire,1997,1.68
Aberdeenshire,1998,1.72
Aberdeenshire,1999,1.68
Aberdeenshire,2000,1.62
Aberdeenshire,2001,1.62
Aberdeenshire,2002,1.69
Aberdeenshire,2003,1.73
Aberdeenshire,2004,1.73
Aberdeenshire,2005,1.77
Aberdeenshire,2006,1.86
Aberdeenshire,2007,1.90
Aberdeenshire,2008,1.95
Aberdeenshire,2009,2.04
Aberdeenshire,2010,1.89
Aberdeenshire,2011,1.86
Aberdeenshire,2012,1.97
Aberdeenshire,2013,1.83
Aberdeenshire,2014,1.88
Aberdeenshire,2015,1.89
Aberdeenshire,2016,1.86
Aberdeenshire,2017,1.81
Aberdeenshire,2018,1.87
Aberdeenshire,2019,1.68
Angus,1991,1.82
Angus,1992,1.84
Angus,1993,1.81
Angus,1994,1.69
Angus,1995,1.69
Angus,1996,1.70
Angus,1997,1.75
Angus,1998,1.70
Angus,1999,1.62
Angus,2000,1.60
Angus,2001,1.76
Angus,2002,1.62
Angus,2003,1.78
Angus,2004,1.75
Angus,2005,1.78
Angus,2006,1.79
Angus,2007,1.85
Angus,2008,1.91
Angus,2009,1.88
Angus,2010,1.75
Angus,2011,1.84
Angus,2012,1.86
Angus,2013,1.79
Angus,2014,1.85
Angus,2015,1.70
Angus,2016,1.65
Angus,2017,1.69
Angus,2018,1.57
Angus,2019,1.59
Argyll and Bute,1991,1.99
Argyll and Bute,1992,1.88
Argyll and Bute,1993,1.70
Argyll and Bute,1994,1.74
Argyll and Bute,1995,1.73
Argyll and Bute,1996,1.65
