Council area,Year,Number of households
Aberdeen City,2001,96948
Aberdeen City,2002,97393
Aberdeen City,2003,97857
Aberdeen City,2004,98526
Aberdeen City,2005,99120
Aberdeen City,2006,100521
Aberdeen City,2007,101916
Aberdeen City,2008,102577
Aberdeen City,2009,103077
Aberdeen City,2010,103285
Aberdeen City,2011,103423
Aberdeen City,2012,103934
Aberdeen City,2013,105047
Aberdeen City,2014,105287
Aberdeen City,2015,105311
Aberdeen City,2016,106749
Aberdeen City,2017,106802
Aberdeen City,2018,107586
Aberdeen City,2019,108381
Aberdeenshire,2001,90887
Aberdeenshire,2002,92328
Aberdeenshire,2003,93763
Aberdeenshire,2004,95658
Aberdeenshire,2005,97490
Aberdeenshire,2006,98892
Aberdeenshire,2007,100340
Aberdeenshire,2008,101696
Aberdeenshire,2009,102839
Aberdeenshire,2010,104017
Aberdeenshire,2011,105006
Aberdeenshire,2012,106018
Aberdeenshire,2013,107128
Aberdeenshire,2014,108381
Aberdeenshire,2015,109631
Aberdeenshire,2016,110296
Aberdeenshire,2017,110941
Aberdeenshire,2018,111156
Aberdeenshire,2019,112114
Angus,2001,46945
Angus,2002,47264
Angus,2003,47772
Angus,2004,48396
Angus,2005,48993
Angus,2006,49556
Angus,2007,50128
Angus,2008,50639
Angus,2009,51109
Angus,2010,51436
Angus,2011,51738
Angus,2012,52109
Angus,2013,52413
Angus,2014,52692
Angus,2015,53142
Angus,2016,53333
Angus,2017,53627
Angus,2018,53888
Angus,2019,54221
Argyll and Bute,2001,39028
Argyll and Bute,2002,39135
Argyll and Bute,2003,39728
Argyll and Bute,2004,39828
Argyll and Bute,2005,40245
Argyll and Bute,2006,40433
Argyll and Bute,2007,40437
Argyll and Bute,2008,40481
Argyll and Bute,2009,40353
Argyll and Bute,2010,40401
Argyll and Bute,2011,40427
Argyll and Bute,2012,40514
Argyll and Bute,2013,40934
Argyll and Bute,2014,40857
Argyll and Bute,2015,40938
Argyll and Bute,2016,41040
Argyll and Bute,2017,41455
Argyll and Bute,2018,41630
Argyll and Bute,2019,41789
City of Edinburgh,2001,204994
City of Edinburgh,2002,206592
City of Edinburgh,2003,207981
City of Edinburgh,2004,209720
City of Edinburgh,2005,212548
City of Edinburgh,2006,214651
City of Edinburgh,2007,217740
City of Edinburgh,2008,219085
City of Edinburgh,2009,220422
City of Edinburgh,2010,222062
City of Edinburgh,2011,224041
City of Edinburgh,2012,224875
City of Edinburgh,2013,227222
City of Edinburgh,2014,229231
City of Edinburgh,2015,229650
City of Edinburgh,2016,231383
City of Edinburgh,2017,233369
City of Edinburgh,2018,235771
City of Edinburgh,2019,238269
Clackmannanshire,2001,20568
Clackmannanshire,2002,20729
Clackmannanshire,2003,20947
Clackmannanshire,2004,21251
Clackmannanshire,2005,21550
Clackmannanshire,2006,21862
Clackmannanshire,2007,22225
Clackmannanshire,2008,22517
Clackmannanshire,2009,22727
Clackmannanshire,2010,22815
Clackmannanshire,2011,22796
Clackmannanshire,2012,22881
Clackmannanshire,2013,22978
Clackmannanshire,2014,23217
Clackmannanshire,2015,23333
Clackmannanshire,2016,23401
Clackmannanshire,2017,23563
Clackmannanshire,2018,23674
Clackmannanshire,2019,23890
Dumfries and Galloway,2001,63888
Dumfries and Galloway,2002,64195
Dumfries and Galloway,2003,64892
Dumfries and Galloway,2004,65515
Dumfries and Galloway,2005,66215
Dumfries and Galloway,2006,66469
Dumfries and Galloway,2007,66909
Dumfries and Galloway,2008,67414
Dumfries and Galloway,2009,67662
Dumfries and Galloway,2010,67845
Dumfries and Galloway,2011,68058
Dumfries and Galloway,2012,68364
Dumfries and Galloway,2013,68682
Dumfries and Galloway,2014,68818
Dumfries and Galloway,2015,68999
Dumfries and Galloway,2016,69202
Dumfries and Galloway,2017,69503
Dumfries and Galloway,2018,69586
Dumfries and Galloway,2019,69699
Dundee City,2001,66854
Dundee City,2002,67133
Dundee City,2003,67109
Dundee City,2004,67310
Dundee City,2005,67188
Dundee City,2006,67060
Dundee City,2007,68011
Dundee City,2008,68594
Dundee City,2009,69067
Dundee City,2010,69105
Dundee City,2011,69150
Dundee City,2012,69263
Dundee City,2013,69500
Dundee City,2014,69610
Dundee City,2015,69534
Dundee City,2016,69635
Dundee City,2017,70049
Dundee City,2018,70337
Dundee City,2019,70685
East Ayrshire,2001,50399
East Ayrshire,2002,50639
East Ayrshire,2003,50981
East Ayrshire,2004,51305
East Ayrshire,2005,51494
East Ayrshire,2006,51941
East Ayrshire,2007,52425
East Ayrshire,2008,53079
East Ayrshire,2009,53519
East Ayrshire,2010,53793
East Ayrshire,2011,53927
East Ayrshire,2012,54143
East Ayrshire,2013,54453
East Ayrshire,2014,54401
East Ayrshire,2015,54570
East Ayrshire,2016,54748
East Ayrshire,2017,54873
East Ayrshire,2018,55107
East Ayrshire,2019,55387
East Dunbartonshire,2001,42251
East Dunbartonshire,2002,42271
East Dunbartonshire,2003,42321
East Dunbartonshire,2004,42492
East Dunbartonshire,2005,42716
East Dunbartonshire,2006,42809
East Dunbartonshire,2007,42892
East Dunbartonshire,2008,43055
East Dunbartonshire,2009,43170
East Dunbartonshire,2010,43298
East Dunbartonshire,2011,43491
East Dunbartonshire,2012,43778
East Dunbartonshire,2013,44102
East Dunbartonshire,2014,44504
East Dunbartonshire,2015,45008
East Dunbartonshire,2016,45350
East Dunbartonshire,2017,45690
East Dunbartonshire,2018,46023
East Dunbartonshire,2019,46228
East Lothian,2001,38227
East Lothian,2002,38623
East Lothian,2003,38924
East Lothian,2004,39294
East Lothian,2005,39668
