Council area,Year,Sex,Age group,Type,Life expectancy
Aberdeen City,2001-03,Male,0,Estimate,74.14193617
Aberdeen City,2001-03,Male,0,Lower_CI,73.64404339
Aberdeen City,2001-03,Male,0,Upper_CI,74.63982896
Aberdeen City,2001-03,Male,1 to 4,Estimate,73.56757326
Aberdeen City,2001-03,Male,1 to 4,Lower_CI,73.10728181
Aberdeen City,2001-03,Male,1 to 4,Upper_CI,74.02786471
Aberdeen City,2001-03,Male,5 to 9,Estimate,69.65897502
Aberdeen City,2001-03,Male,5 to 9,Lower_CI,69.20689534
Aberdeen City,2001-03,Male,5 to 9,Upper_CI,70.11105469
Aberdeen City,2001-03,Male,10 to 14,Estimate,64.69968483
Aberdeen City,2001-03,Male,10 to 14,Lower_CI,64.25086567
Aberdeen City,2001-03,Male,10 to 14,Upper_CI,65.14850398
Aberdeen City,2001-03,Male,15 to 19,Estimate,59.7177572
Aberdeen City,2001-03,Male,15 to 19,Lower_CI,59.27020761
Aberdeen City,2001-03,Male,15 to 19,Upper_CI,60.16530679
Aberdeen City,2001-03,Male,20 to 24,Estimate,54.9529188
Aberdeen City,2001-03,Male,20 to 24,Lower_CI,54.51861691
Aberdeen City,2001-03,Male,20 to 24,Upper_CI,55.38722069
Aberdeen City,2001-03,Male,25 to 29,Estimate,50.17167315
Aberdeen City,2001-03,Male,25 to 29,Lower_CI,49.74410953
Aberdeen City,2001-03,Male,25 to 29,Upper_CI,50.59923678
Aberdeen City,2001-03,Male,30 to 34,Estimate,45.48266756
Aberdeen City,2001-03,Male,30 to 34,Lower_CI,45.06568905
Aberdeen City,2001-03,Male,30 to 34,Upper_CI,45.89964608
Aberdeen City,2001-03,Male,35 to 39,Estimate,40.84293006
Aberdeen City,2001-03,Male,35 to 39,Lower_CI,40.43659837
Aberdeen City,2001-03,Male,35 to 39,Upper_CI,41.24926175
Aberdeen City,2001-03,Male,40 to 44,Estimate,36.32716822
Aberdeen City,2001-03,Male,40 to 44,Lower_CI,35.93429638
Aberdeen City,2001-03,Male,40 to 44,Upper_CI,36.72004006
Aberdeen City,2001-03,Male,45 to 49,Estimate,31.84904496
Aberdeen City,2001-03,Male,45 to 49,Lower_CI,31.46932952
Aberdeen City,2001-03,Male,45 to 49,Upper_CI,32.22876041
Aberdeen City,2001-03,Male,50 to 54,Estimate,27.32191924
Aberdeen City,2001-03,Male,50 to 54,Lower_CI,26.95284297
Aberdeen City,2001-03,Male,50 to 54,Upper_CI,27.69099551
Aberdeen City,2001-03,Male,55 to 59,Estimate,22.90508735
Aberdeen City,2001-03,Male,55 to 59,Lower_CI,22.54604992
Aberdeen City,2001-03,Male,55 to 59,Upper_CI,23.26412478
Aberdeen City,2001-03,Male,60 to 64,Estimate,18.9381618
Aberdeen City,2001-03,Male,60 to 64,Lower_CI,18.59707191
Aberdeen City,2001-03,Male,60 to 64,Upper_CI,19.27925169
Aberdeen City,2001-03,Male,65 to 69,Estimate,15.55150374
Aberdeen City,2001-03,Male,65 to 69,Lower_CI,15.2380888
Aberdeen City,2001-03,Male,65 to 69,Upper_CI,15.86491868
Aberdeen City,2001-03,Male,70 to 74,Estimate,12.12202336
Aberdeen City,2001-03,Male,70 to 74,Lower_CI,11.82738511
Aberdeen City,2001-03,Male,70 to 74,Upper_CI,12.4166616
Aberdeen City,2001-03,Male,75 to 79,Estimate,9.332028721
Aberdeen City,2001-03,Male,75 to 79,Lower_CI,9.050835465
Aberdeen City,2001-03,Male,75 to 79,Upper_CI,9.613221977
Aberdeen City,2001-03,Male,80 to 84,Estimate,7.018461713
Aberdeen City,2001-03,Male,80 to 84,Lower_CI,6.73729791
Aberdeen City,2001-03,Male,80 to 84,Upper_CI,7.299625516
Aberdeen City,2001-03,Male,85 to 89,Estimate,4.958663103
