Council area,Registration Year,Number of marriages,,,,,,,,,,
Aberdeen City,1991,1428,,,,,,,,,,
Aberdeenshire,1991,1151,,,,,,,,,,
Angus,1991,550,,,,,,,,,,
Argyll and Bute,1991,717,,,,,,,,,,
City of Edinburgh,1991,3098,,,,,,,,,,
Clackmannanshire,1991,256,,,,,,,,,,
Dumfries and Galloway,1991,3393,,,,,,,,,,
Dundee City,1991,999,,,,,,,,,,
East Ayrshire,1991,637,,,,,,,,,,
East Dunbartonshire,1991,856,,,,,,,,,,
East Lothian,1991,554,,,,,,,,,,
East Renfrewshire,1991,851,,,,,,,,,,
Falkirk,1991,840,,,,,,,,,,
Fife,1991,2205,,,,,,,,,,
Glasgow City,1991,2980,,,,,,,,,,
Highland,1991,1511,,,,,,,,,,
Inverclyde,1991,512,,,,,,,,,,
Midlothian,1991,464,,,,,,,,,,
Moray,1991,644,,,,,,,,,,
Na h-Eileanan Siar,1991,121,,,,,,,,,,
North Ayrshire,1991,865,,,,,,,,,,
North Lanarkshire,1991,1966,,,,,,,,,,
Orkney Islands,1991,124,,,,,,,,,,
Perth and Kinross,1991,934,,,,,,,,,,
Renfrewshire,1991,895,,,,,,,,,,
Scotland,1991,"33,762",,,,,,,,,,
Scottish Borders,1991,707,,,,,,,,,,
Shetland Islands,1991,114,,,,,,,,,,
South Ayrshire,1991,855,,,,,,,,,,
South Lanarkshire,1991,1561,,,,,,,,,,
Stirling,1991,631,,,,,,,,,,
West Dunbartonshire,1991,543,,,,,,,,,,
West Lothian,1991,800,,,,,,,,,,
Aberdeen City,1992,1454,,,,,,,,,,
Aberdeenshire,1992,1210,,,,,,,,,,
Angus,1992,581,,,,,,,,,,
Argyll and Bute,1992,682,,,,,,,,,,
City of Edinburgh,1992,3138,,,,,,,,,,
Clackmannanshire,1992,301,,,,,,,,,,
Dumfries and Galloway,1992,4361,,,,,,,,,,
Dundee City,1992,995,,,,,,,,,,
East Ayrshire,1992,606,,,,,,,,,,
East Dunbartonshire,1992,819,,,,,,,,,,
East Lothian,1992,577,,,,,,,,,,
East Renfrewshire,1992,865,,,,,,,,,,
Falkirk,1992,821,,,,,,,,,,
Fife,1992,2320,,,,,,,,,,
Glasgow City,1992,2867,,,,,,,,,,
Highland,1992,1589,,,,,,,,,,
Inverclyde,1992,495,,,,,,,,,,
Midlothian,1992,480,,,,,,,,,,
Moray,1992,659,,,,,,,,,,
Na h-Eileanan Siar,1992,136,,,,,,,,,,
North Ayrshire,1992,815,,,,,,,,,,
North Lanarkshire,1992,1865,,,,,,,,,,
Orkney Islands,1992,123,,,,,,,,,,
Perth and Kinross,1992,952,,,,,,,,,,
Renfrewshire,1992,968,,,,,,,,,,
Scotland,1992,"35,057",,,,,,,,,,
Scottish Borders,1992,701,,,,,,,,,,
Shetland Islands,1992,127,,,,,,,,,,
South Ayrshire,1992,914,,,,,,,,,,
South Lanarkshire,1992,1564,,,,,,,,,,
Stirling,1992,631,,,,,,,,,,
West Dunbartonshire,1992,647,,,,,,,,,,
West Lothian,1992,794,,,,,,,,,,
Aberdeen City,1993,1308,,,,,,,,,,
Aberdeenshire,1993,1104,,,,,,,,,,
Angus,1993,538,,,,,,,,,,
Argyll and Bute,1993,666,,,,,,,,,,
City of Edinburgh,1993,2939,,,,,,,,,,
Clackmannanshire,1993,226,,,,,,,,,,
Dumfries and Galloway,1993,4565,,,,,,,,,,
Dundee City,1993,925,,,,,,,,,,
East Ayrshire,1993,549,,,,,,,,,,
East Dunbartonshire,1993,848,,,,,,,,,,
East Lothian,1993,565,,,,,,,,,,
East Renfrewshire,1993,811,,,,,,,,,,
Falkirk,1993,793,,,,,,,,,,
Fife,1993,2067,,,,,,,,,,
Glasgow City,1993,2758,,,,,,,,,,
Highland,1993,1525,,,,,,,,,,
Inverclyde,1993,441,,,,,,,,,,
Midlothian,1993,430,,,,,,,,,,
Moray,1993,605,,,,,,,,,,
Na h-Eileanan Siar,1993,116,,,,,,,,,,
North Ayrshire,1993,739,,,,,,,,,,
North Lanarkshire,1993,1784,,,,,,,,,,
Orkney Islands,1993,111,,,,,,,,,,
Perth and Kinross,1993,935,,,,,,,,,,
Renfrewshire,1993,879,,,,,,,,,,
Scotland,1993,"33,366",,,,,,,,,,
Scottish Borders,1993,693,,,,,,,,,,
Shetland Islands,1993,124,,,,,,,,,,
South Ayrshire,1993,819,,,,,,,,,,
South Lanarkshire,1993,1432,,,,,,,,,,
Stirling,1993,659,,,,,,,,,,
West Dunbartonshire,1993,580,,,,,,,,,,
West Lothian,1993,832,,,,,,,,,,
Aberdeen City,1994,1170,,,,,,,,,,
Aberdeenshire,1994,1086,,,,,,,,,,
Angus,1994,482,,,,,,,,,,
Argyll and Bute,1994,598,,,,,,,,,,
City of Edinburgh,1994,2879,,,,,,,,,,
Clackmannanshire,1994,231,,,,,,,,,,
Dumfries and Galloway,1994,4761,,,,,,,,,,
Dundee City,1994,830,,,,,,,,,,
East Ayrshire,1994,503,,,,,,,,,,
East Dunbartonshire,1994,648,,,,,,,,,,
East Lothian,1994,512,,,,,,,,,,
East Renfrewshire,1994,684,,,,,,,,,,
Falkirk,1994,743,,,,,,,,,,
Fife,1994,1987,,,,,,,,,,
Glasgow City,1994,2747,,,,,,,,,,
Highland,1994,1341,,,,,,,,,,
Inverclyde,1994,396,,,,,,,,,,
Midlothian,1994,421,,,,,,,,,,
Moray,1994,585,,,,,,,,,,
Na h-Eileanan Siar,1994,107,,,,,,,,,,
North Ayrshire,1994,753,,,,,,,,,,
North Lanarkshire,1994,1622,,,,,,,,,,
Orkney Islands,1994,106,,,,,,,,,,
Perth and Kinross,1994,910,,,,,,,,,,
Renfrewshire,1994,755,,,,,,,,,,
Scotland,1994,"31,480",,,,,,,,,,
Scottish Borders,1994,667,,,,,,,,,,
Shetland Islands,1994,115,,,,,,,,,,
South Ayrshire,1994,740,,,,,,,,,,
South Lanarkshire,1994,1324,,,,,,,,,,
Stirling,1994,587,,,,,,,,,,
West Dunbartonshire,1994,487,,,,,,,,,,
West Lothian,1994,703,,,,,,,,,,
Aberdeen City,1995,1147,,,,,,,,,,
Aberdeenshire,1995,1060,,,,,,,,,,
Angus,1995,496,,,,,,,,,,
Argyll and Bute,1995,680,,,,,,,,,,
City of Edinburgh,1995,2767,,,,,,,,,,
Clackmannanshire,1995,232,,,,,,,,,,
Dumfries and Galloway,1995,4699,,,,,,,,,,
Dundee City,1995,733,,,,,,,,,,
East Ayrshire,1995,419,,,,,,,,,,
East Dunbartonshire,1995,545,,,,,,,,,,
East Lothian,1995,513,,,,,,,,,,
East Renfrewshire,1995,555,,,,,,,,,,
Falkirk,1995,750,,,,,,,,,,
Fife,1995,1870,,,,,,,,,,
Glasgow City,1995,3051,,,,,,,,,,
Highland,1995,1375,,,,,,,,,,
Inverclyde,1995,403,,,,,,,,,,
Midlothian,1995,407,,,,,,,,,,
Moray,1995,509,,,,,,,,,,
Na h-Eileanan Siar,1995,100,,,,,,,,,,
North Ayrshire,1995,695,,,,,,,,,,
North Lanarkshire,1995,1501,,,,,,,,,,
Orkney Islands,1995,106,,,,,,,,,,
Perth and Kinross,1995,911,,,,,,,,,,
Renfrewshire,1995,702,,,,,,,,,,
Scotland,1995,"30,663",,,,,,,,,,
Scottish Borders,1995,567,,,,,,,,,,
Shetland Islands,1995,101,,,,,,,,,,
South Ayrshire,1995,759,,,,,,,,,,
South Lanarkshire,1995,1254,,,,,,,,,,
Stirling,1995,623,,,,,,,,,,
West Dunbartonshire,1995,467,,,,,,,,,,
West Lothian,1995,666,,,,,,,,,,
Aberdeen City,1996,1047,,,,,,,,,,
Aberdeenshire,1996,1054,,,,,,,,,,
Angus,1996,424,,,,,,,,,,
Argyll and Bute,1996,612,,,,,,,,,,
City of Edinburgh,1996,2778,,,,,,,,,,
Clackmannanshire,1996,208,,,,,,,,,,
Dumfries and Galloway,1996,5064,,,,,,,,,,
Dundee City,1996,761,,,,,,,,,,
East Ayrshire,1996,419,,,,,,,,,,
East Dunbartonshire,1996,469,,,,,,,,,,
East Lothian,1996,463,,,,,,,,,,
East Renfrewshire,1996,550,,,,,,,,,,
Falkirk,1996,673,,,,,,,,,,
Fife,1996,1794,,,,,,,,,,
Glasgow City,1996,3015,,,,,,,,,,
Highland,1996,1444,,,,,,,,,,
Inverclyde,1996,367,,,,,,,,,,
