Council area,Year,Sex,Type,Number
Aberdeen City,2001-02,Female,In,5470
Aberdeen City,2001-02,Female,Net,-670
Aberdeen City,2001-02,Female,Out,6140
Aberdeen City,2001-02,Male,In,5500
Aberdeen City,2001-02,Male,Net,-160
Aberdeen City,2001-02,Male,Out,5660
Aberdeen City,2001-02,Persons,In,10970
Aberdeen City,2001-02,Persons,Net,-830
Aberdeen City,2001-02,Persons,Out,11800
Aberdeen City,2002-03,Female,In,5530
Aberdeen City,2002-03,Female,Net,-610
Aberdeen City,2002-03,Female,Out,6140
Aberdeen City,2002-03,Male,In,5410
Aberdeen City,2002-03,Male,Net,-540
Aberdeen City,2002-03,Male,Out,5960
Aberdeen City,2002-03,Persons,In,10940
Aberdeen City,2002-03,Persons,Net,-1160
Aberdeen City,2002-03,Persons,Out,12090
Aberdeen City,2003-04,Female,In,5560
Aberdeen City,2003-04,Female,Net,-580
Aberdeen City,2003-04,Female,Out,6130
Aberdeen City,2003-04,Male,In,5100
Aberdeen City,2003-04,Male,Net,-620
Aberdeen City,2003-04,Male,Out,5720
Aberdeen City,2003-04,Persons,In,10650
Aberdeen City,2003-04,Persons,Net,-1190
Aberdeen City,2003-04,Persons,Out,11850
Aberdeen City,2004-05,Female,In,6310
Aberdeen City,2004-05,Female,Net,680
Aberdeen City,2004-05,Female,Out,5630
Aberdeen City,2004-05,Male,In,6090
Aberdeen City,2004-05,Male,Net,430
Aberdeen City,2004-05,Male,Out,5660
Aberdeen City,2004-05,Persons,In,12400
Aberdeen City,2004-05,Persons,Net,1110
Aberdeen City,2004-05,Persons,Out,11290
Aberdeen City,2005-06,Female,In,6370
Aberdeen City,2005-06,Female,Net,460
Aberdeen City,2005-06,Female,Out,5910
Aberdeen City,2005-06,Male,In,6380
Aberdeen City,2005-06,Male,Net,680
Aberdeen City,2005-06,Male,Out,5690
Aberdeen City,2005-06,Persons,In,12750
Aberdeen City,2005-06,Persons,Net,1140
Aberdeen City,2005-06,Persons,Out,11600
Aberdeen City,2006-07,Female,In,6740
Aberdeen City,2006-07,Female,Net,1330
Aberdeen City,2006-07,Female,Out,5410
Aberdeen City,2006-07,Male,In,6770
Aberdeen City,2006-07,Male,Net,1620
Aberdeen City,2006-07,Male,Out,5150
Aberdeen City,2006-07,Persons,In,13510
Aberdeen City,2006-07,Persons,Net,2950
Aberdeen City,2006-07,Persons,Out,10560
Aberdeen City,2007-08,Female,In,6830
Aberdeen City,2007-08,Female,Net,780
Aberdeen City,2007-08,Female,Out,6050
Aberdeen City,2007-08,Male,In,6800
Aberdeen City,2007-08,Male,Net,870
Aberdeen City,2007-08,Male,Out,5940
Aberdeen City,2007-08,Persons,In,13630
Aberdeen City,2007-08,Persons,Net,1650
Aberdeen City,2007-08,Persons,Out,11980
Aberdeen City,2008-09,Female,In,7040
Aberdeen City,2008-09,Female,Net,1410
Aberdeen City,2008-09,Female,Out,5620
Aberdeen City,2008-09,Male,In,7130
Aberdeen City,2008-09,Male,Net,1560
Aberdeen City,2008-09,Male,Out,5570
Aberdeen City,2008-09,Persons,In,14160
Aberdeen City,2008-09,Persons,Net,2970
Aberdeen City,2008-09,Persons,Out,11190
Aberdeen City,2009-10,Female,In,7120
Aberdeen City,2009-10,Female,Net,1400
Aberdeen City,2009-10,Female,Out,5720
Aberdeen City,2009-10,Male,In,6850
Aberdeen City,2009-10,Male,Net,1360
Aberdeen City,2009-10,Male,Out,5500
Aberdeen City,2009-10,Persons,In,13970
Aberdeen City,2009-10,Persons,Net,2750
Aberdeen City,2009-10,Persons,Out,11220
Aberdeen City,2010-11,Female,In,7000
Aberdeen City,2010-11,Female,Net,1570
Aberdeen City,2010-11,Female,Out,5440
Aberdeen City,2010-11,Male,In,6580
Aberdeen City,2010-11,Male,Net,1510
Aberdeen City,2010-11,Male,Out,5070
Aberdeen City,2010-11,Persons,In,13580
Aberdeen City,2010-11,Persons,Net,3080
Aberdeen City,2010-11,Persons,Out,10500
Aberdeen City,2011-12,Female,In,7060
Aberdeen City,2011-12,Female,Net,980
Aberdeen City,2011-12,Female,Out,6080
Aberdeen City,2011-12,Male,In,6590
Aberdeen City,2011-12,Male,Net,870
Aberdeen City,2011-12,Male,Out,5730
Aberdeen City,2011-12,Persons,In,13650
Aberdeen City,2011-12,Persons,Net,1850
Aberdeen City,2011-12,Persons,Out,11810
Aberdeen City,2012-13,Female,In,7210
Aberdeen City,2012-13,Female,Net,790
Aberdeen City,2012-13,Female,Out,6420
Aberdeen City,2012-13,Male,In,6830
Aberdeen City,2012-13,Male,Net,870
Aberdeen City,2012-13,Male,Out,5960
Aberdeen City,2012-13,Persons,In,14040
Aberdeen City,2012-13,Persons,Net,1660
Aberdeen City,2012-13,Persons,Out,12380
Aberdeen City,2013-14,Female,In,7210
Aberdeen City,2013-14,Female,Net,710
Aberdeen City,2013-14,Female,Out,6500
Aberdeen City,2013-14,Male,In,7000
Aberdeen City,2013-14,Male,Net,700
Aberdeen City,2013-14,Male,Out,6300
Aberdeen City,2013-14,Persons,In,14210
Aberdeen City,2013-14,Persons,Net,1410
Aberdeen City,2013-14,Persons,Out,12790
Aberdeen City,2014-15,Female,In,7130
Aberdeen City,2014-15,Female,Net,410
Aberdeen City,2014-15,Female,Out,6720
Aberdeen City,2014-15,Male,In,6930
Aberdeen City,2014-15,Male,Net,670
Aberdeen City,2014-15,Male,Out,6250
Aberdeen City,2014-15,Persons,In,14060
Aberdeen City,2014-15,Persons,Net,1090
Aberdeen City,2014-15,Persons,Out,12980
Aberdeen City,2015-16,Female,In,6550
Aberdeen City,2015-16,Female,Net,-400
Aberdeen City,2015-16,Female,Out,6940
Aberdeen City,2015-16,Male,In,5760
Aberdeen City,2015-16,Male,Net,-570
Aberdeen City,2015-16,Male,Out,6330
Aberdeen City,2015-16,Persons,In,12310
Aberdeen City,2015-16,Persons,Net,-970
Aberdeen City,2015-16,Persons,Out,13270
Aberdeen City,2016-17,Female,In,5760
Aberdeen City,2016-17,Female,Net,-870
Aberdeen City,2016-17,Female,Out,6630
Aberdeen City,2016-17,Male,In,5570
Aberdeen City,2016-17,Male,Net,-550
Aberdeen City,2016-17,Male,Out,6120
Aberdeen City,2016-17,Persons,In,11330
Aberdeen City,2016-17,Persons,Net,-1420
Aberdeen City,2016-17,Persons,Out,12750
Aberdeen City,2017-18,Female,In,5470
Aberdeen City,2017-18,Female,Net,-630
