Council area,Year,Sex,Age group,Number
Aberdeen City,2001-02,Female,0 to 4,-69
Aberdeen City,2001-02,Female,10 to 14,-3
Aberdeen City,2001-02,Female,15 to 19,732
Aberdeen City,2001-02,Female,20 to 24,-335
Aberdeen City,2001-02,Female,25 to 29,-281
Aberdeen City,2001-02,Female,30 to 34,-276
Aberdeen City,2001-02,Female,35 to 39,-118
Aberdeen City,2001-02,Female,40 to 44,-34
Aberdeen City,2001-02,Female,45 to 49,-33
Aberdeen City,2001-02,Female,5 to 9,-53
Aberdeen City,2001-02,Female,50 to 54,-30
Aberdeen City,2001-02,Female,55 to 59,-66
Aberdeen City,2001-02,Female,60 to 64,-36
Aberdeen City,2001-02,Female,65 to 69,-16
Aberdeen City,2001-02,Female,70 to 74,-6
Aberdeen City,2001-02,Female,75 to 79,-5
Aberdeen City,2001-02,Female,80 to 84,-14
Aberdeen City,2001-02,Female,85 to 89,-16
Aberdeen City,2001-02,Female,90 and over,-9
Aberdeen City,2001-02,Female,All ages,-668
Aberdeen City,2001-02,Male,0 to 4,-31
Aberdeen City,2001-02,Male,10 to 14,-22
Aberdeen City,2001-02,Male,15 to 19,367
Aberdeen City,2001-02,Male,20 to 24,221
Aberdeen City,2001-02,Male,25 to 29,-170
Aberdeen City,2001-02,Male,30 to 34,-198
Aberdeen City,2001-02,Male,35 to 39,-121
Aberdeen City,2001-02,Male,40 to 44,-27
Aberdeen City,2001-02,Male,45 to 49,4
Aberdeen City,2001-02,Male,5 to 9,14
Aberdeen City,2001-02,Male,50 to 54,-49
Aberdeen City,2001-02,Male,55 to 59,-45
Aberdeen City,2001-02,Male,60 to 64,-45
Aberdeen City,2001-02,Male,65 to 69,-27
Aberdeen City,2001-02,Male,70 to 74,-6
Aberdeen City,2001-02,Male,75 to 79,-17
Aberdeen City,2001-02,Male,80 to 84,-1
Aberdeen City,2001-02,Male,85 to 89,-1
Aberdeen City,2001-02,Male,90 and over,-4
Aberdeen City,2001-02,Male,All ages,-158
Aberdeen City,2002-03,Female,0 to 4,-72
Aberdeen City,2002-03,Female,10 to 14,-71
Aberdeen City,2002-03,Female,15 to 19,812
Aberdeen City,2002-03,Female,20 to 24,-138
Aberdeen City,2002-03,Female,25 to 29,-341
Aberdeen City,2002-03,Female,30 to 34,-364
