Council area,Registration Year,Standardised birth rate,
Aberdeen City,1991,11.3,
Aberdeenshire,1991,14.6,
Angus,1991,14.0,
Argyll and Bute,1991,15.4,
City of Edinburgh,1991,11.5,
Clackmannanshire,1991,14.3,
Dumfries and Galloway,1991,13.8,
Dundee City,1991,12.5,
East Ayrshire,1991,14.3,
East Dunbartonshire,1991,13.8,
East Lothian,1991,14.3,
East Renfrewshire,1991,14.2,
Falkirk,1991,13.6,
Fife,1991,13.0,
Glasgow City,1991,12.7,
Highland,1991,14.3,
Inverclyde,1991,13.2,
Midlothian,1991,14.1,
Moray,1991,15.4,
Na h-Eileanan Siar,1991,14.5,
North Ayrshire,1991,14.4,
North Lanarkshire,1991,13.3,
Orkney Islands,1991,14.4,
Perth and Kinross,1991,14.3,
Renfrewshire,1991,12.5,
Scotland,1991,13.2,
Scottish Borders,1991,14.0,
Shetland Islands,1991,16.3,
South Ayrshire,1991,12.5,
South Lanarkshire,1991,13.4,
Stirling,1991,12.3,
West Dunbartonshire,1991,12.9,
West Lothian,1991,13.3,
Aberdeen City,1992,11.0,
Aberdeenshire,1992,14.7,
Angus,1992,14.1,
Argyll and Bute,1992,14.5,
City of Edinburgh,1992,11.0,
Clackmannanshire,1992,14.5,
Dumfries and Galloway,1992,13.5,
Dundee City,1992,12.3,
East Ayrshire,1992,13.7,
East Dunbartonshire,1992,12.8,
East Lothian,1992,14.7,
East Renfrewshire,1992,14.3,
Falkirk,1992,13.0,
Fife,1992,12.8,
Glasgow City,1992,12.4,
Highland,1992,14.4,
Inverclyde,1992,13.0,
Midlothian,1992,14.2,
Moray,1992,15.0,
Na h-Eileanan Siar,1992,14.6,
North Ayrshire,1992,13.4,
North Lanarkshire,1992,12.9,
Orkney Islands,1992,14.4,
Perth and Kinross,1992,13.6,
Renfrewshire,1992,13.0,
Scotland,1992,12.9,
Scottish Borders,1992,13.2,
Shetland Islands,1992,16.1,
South Ayrshire,1992,12.9,
South Lanarkshire,1992,12.8,
Stirling,1992,11.9,
West Dunbartonshire,1992,13.4,
West Lothian,1992,13.3,
Aberdeen City,1993,10.7,
Aberdeenshire,1993,13.6,
Angus,1993,13.8,
Argyll and Bute,1993,13.1,
City of Edinburgh,1993,10.5,
Clackmannanshire,1993,13.6,
Dumfries and Galloway,1993,13.2,
Dundee City,1993,12.0,
East Ayrshire,1993,13.2,
East Dunbartonshire,1993,12.5,
East Lothian,1993,14.1,
East Renfrewshire,1993,14.5,
Falkirk,1993,12.7,
Fife,1993,12.7,
Glasgow City,1993,11.8,
Highland,1993,13.6,
Inverclyde,1993,12.5,
Midlothian,1993,13.0,
Moray,1993,14.5,
Na h-Eileanan Siar,1993,12.1,
North Ayrshire,1993,13.1,
North Lanarkshire,1993,12.5,
Orkney Islands,1993,14.2,
Perth and Kinross,1993,13.1,
Renfrewshire,1993,12.0,
Scotland,1993,12.4,
Scottish Borders,1993,12.5,
Shetland Islands,1993,15.2,
South Ayrshire,1993,12.7,
South Lanarkshire,1993,12.9,
Stirling,1993,11.6,
West Dunbartonshire,1993,12.7,
West Lothian,1993,12.9,
Aberdeen City,1994,10.7,
Aberdeenshire,1994,13.5,
Angus,1994,12.8,
Argyll and Bute,1994,13.3,
City of Edinburgh,1994,10.5,
Clackmannanshire,1994,12.9,
Dumfries and Galloway,1994,13.5,
Dundee City,1994,11.3,
East Ayrshire,1994,12.3,
East Dunbartonshire,1994,12.4,
East Lothian,1994,13.2,
East Renfrewshire,1994,13.6,
Falkirk,1994,12.3,
Fife,1994,12.2,
Glasgow City,1994,11.3,
Highland,1994,13.3,
Inverclyde,1994,12.5,
Midlothian,1994,13.0,
Moray,1994,14.0,
Na h-Eileanan Siar,1994,12.9,
North Ayrshire,1994,12.7,
North Lanarkshire,1994,12.1,
Orkney Islands,1994,14.9,
Perth and Kinross,1994,12.2,
Renfrewshire,1994,11.7,
Scotland,1994,12.1,
Scottish Borders,1994,12.5,
Shetland Islands,1994,15.2,
South Ayrshire,1994,11.6,
South Lanarkshire,1994,12.2,
Stirling,1994,10.8,
West Dunbartonshire,1994,12.9,
West Lothian,1994,12.6,
Aberdeen City,1995,9.6,
Aberdeenshire,1995,12.7,
Angus,1995,12.6,
Argyll and Bute,1995,13.0,
City of Edinburgh,1995,9.9,
Clackmannanshire,1995,13.6,
Dumfries and Galloway,1995,12.7,
Dundee City,1995,11.2,
East Ayrshire,1995,12.4,
East Dunbartonshire,1995,12.6,
East Lothian,1995,13.6,
East Renfrewshire,1995,12.7,
Falkirk,1995,11.5,
Fife,1995,12.0,
Glasgow City,1995,11.3,
Highland,1995,12.9,
Inverclyde,1995,12.6,
Midlothian,1995,12.5,
Moray,1995,13.3,
Na h-Eileanan Siar,1995,13.0,
North Ayrshire,1995,12.3,
North Lanarkshire,1995,12.0,
Orkney Islands,1995,13.9,
Perth and Kinross,1995,11.7,
Renfrewshire,1995,11.8,
Scotland,1995,11.8,
Scottish Borders,1995,12.8,
Shetland Islands,1995,13.9,
South Ayrshire,1995,10.9,
South Lanarkshire,1995,11.6,
