Council area,Registration Year,Standardised death rate,,,,
Aberdeen City,1991,11,,,,
Aberdeenshire,1991,10.3,,,,
Angus,1991,11.5,,,,
Argyll and Bute,1991,11.2,,,,
City of Edinburgh,1991,11.6,,,,
Clackmannanshire,1991,11.3,,,,
Dumfries and Galloway,1991,11.6,,,,
Dundee City,1991,11.6,,,,
East Ayrshire,1991,12.5,,,,
East Dunbartonshire,1991,10.3,,,,
East Lothian,1991,11.2,,,,
East Renfrewshire,1991,10.1,,,,
Falkirk,1991,12.1,,,,
Fife,1991,11.9,,,,
Glasgow City,1991,13.8,,,,
Highland,1991,11.5,,,,
Inverclyde,1991,13.5,,,,
Midlothian,1991,12.1,,,,
Moray,1991,11.1,,,,
Na h-Eileanan Siar,1991,11.8,,,,
North Ayrshire,1991,12.2,,,,
North Lanarkshire,1991,13.4,,,,
Orkney Islands,1991,10.5,,,,
Perth and Kinross,1991,11.1,,,,
Renfrewshire,1991,12.7,,,,
Scotland,1991,12,,,,
Scottish Borders,1991,11.2,,,,
Shetland Islands,1991,10.7,,,,
South Ayrshire,1991,11.6,,,,
South Lanarkshire,1991,12,,,,
Stirling,1991,11.6,,,,
West Dunbartonshire,1991,13.1,,,,
West Lothian,1991,12.6,,,,
Aberdeen City,1992,11,,,,
Aberdeenshire,1992,10.6,,,,
Angus,1992,11.6,,,,
Argyll and Bute,1992,10.9,,,,
City of Edinburgh,1992,11.6,,,,
Clackmannanshire,1992,12.3,,,,
Dumfries and Galloway,1992,11.5,,,,
Dundee City,1992,12.2,,,,
East Ayrshire,1992,12.2,,,,
East Dunbartonshire,1992,10.8,,,,
East Lothian,1992,10.5,,,,
East Renfrewshire,1992,10.2,,,,
Falkirk,1992,12.5,,,,
Fife,1992,11.6,,,,
Glasgow City,1992,13.9,,,,
Highland,1992,11.1,,,,
Inverclyde,1992,13,,,,
Midlothian,1992,11.2,,,,
Moray,1992,11.3,,,,
Na h-Eileanan Siar,1992,11.2,,,,
North Ayrshire,1992,12,,,,
North Lanarkshire,1992,13.2,,,,
Orkney Islands,1992,11.7,,,,
Perth and Kinross,1992,11.2,,,,
Renfrewshire,1992,13.2,,,,
Scotland,1992,12,,,,
Scottish Borders,1992,10.5,,,,
Shetland Islands,1992,11.7,,,,
South Ayrshire,1992,10.9,,,,
South Lanarkshire,1992,12.5,,,,
Stirling,1992,11.3,,,,
West Dunbartonshire,1992,13.5,,,,
West Lothian,1992,12.2,,,,
Aberdeen City,1993,12,,,,
Aberdeenshire,1993,11.3,,,,
Angus,1993,11.8,,,,
Argyll and Bute,1993,12.4,,,,
City of Edinburgh,1993,11.8,,,,
Clackmannanshire,1993,11.6,,,,
Dumfries and Galloway,1993,11.6,,,,
Dundee City,1993,12.5,,,,
East Ayrshire,1993,12.8,,,,
East Dunbartonshire,1993,10.9,,,,
East Lothian,1993,11.6,,,,
East Renfrewshire,1993,10.4,,,,
Falkirk,1993,13.4,,,,
Fife,1993,11.7,,,,
Glasgow City,1993,14.7,,,,
Highland,1993,11.4,,,,
Inverclyde,1993,14.7,,,,
Midlothian,1993,12.3,,,,
Moray,1993,12,,,,
