new_cases,date,confirmed_cases,doubling_time_week,country_region
1,2020-03-02,1,0,Scotland
0,2020-03-03,1,0,Scotland
2,2020-03-04,3,0,Scotland
3,2020-03-05,6,0,Scotland
5,2020-03-06,11,0,Scotland
5,2020-03-07,16,0,Scotland
2,2020-03-08,18,0,Scotland
5,2020-03-09,23,1.547453106202526,Scotland
4,2020-03-10,27,1.4721694250000672,Scotland
9,2020-03-11,36,1.9526006195579089,Scotland
24,2020-03-12,60,2.107209969647868,Scotland
25,2020-03-13,85,2.372914080025797,Scotland
36,2020-03-14,121,2.398193896380034,Scotland
32,2020-03-15,153,2.267233764395748,Scotland
18,2020-03-16,171,2.418554688176299,Scotland
24,2020-03-17,195,2.454036929878902,Scotland
32,2020-03-18,227,2.634923630423299,Scotland
39,2020-03-19,266,3.2582510648288925,Scotland
56,2020-03-20,322,3.642938066606699,Scotland
51,2020-03-21,373,4.309897428968692,Scotland
43,2020-03-22,416,4.850830464999529,Scotland
83,2020-03-23,499,4.530616803514734,Scotland
85,2020-03-24,584,4.423396812683612,Scotland
135,2020-03-25,719,4.208502505414748,Scotland
175,2020-03-26,894,4.0026335368934705,Scotland
165,2020-03-27,1059,4.075525315882589,Scotland
186,2020-03-28,1245,4.02553753464583,Scotland
139,2020-03-29,1384,4.0364700617442475,Scotland
179,2020-03-30,1563,4.2496201173117925,Scotland
430,2020-03-31,1993,3.952789160289496,Scotland
317,2020-04-01,2310,4.157191299650499,Scotland
292,2020-04-02,2602,4.541696658537559,Scotland
399,2020-04-03,3001,4.658155503534889,Scotland
344,2020-04-04,3345,4.9093162720218535,Scotland
361,2020-04-05,3706,4.9260427225046435,Scotland
255,2020-04-06,3961,5.217856998130456,Scotland
268,2020-04-07,4229,6.449384743691334,Scotland
336,2020-04-08,4565,7.123072383612399,Scotland
392,2020-04-09,4957,7.5281259111826895,Scotland
318,2020-04-10,5275,8.602385485737084,Scotland
315,2020-04-11,5590,9.448707440705283,Scotland
322,2020-04-12,5912,10.389095551232096,Scotland
155,2020-04-13,6067,11.379919067218582,Scotland
